Id,genome_size,contigs,n50,ST,Insertion,ompK36,ompK35,Source,Source_edited,Source_summarised,Host,Country,Year,resistance_genes,plasmids,Organism,Strain
GCF_000281315,5720331,115,178365,258,GD,1,0,rectal swab,rectal swab,stool,Homo sapiens,USA,2011,"aac(6')-Ib,aadA2,aph(3')-Ia,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxA,oqxB,blaTEM-1A,blaOXA-9,blaSHV-11,blaKPC-3,catA1","IncFIB(K),IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae KPNIH9,KPNIH9
GCF_000281335,5719358,164,149661,258,GD,1,0,rectal swab,rectal swab,stool,Homo sapiens,USA,2011,"aadA2,aph(3')-Ia,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,oqxB,oqxA,aac(6')Ib-cr,blaOXA-9,blaTEM-1A,blaSHV-11,blaKPC-3,catA1","IncFIB(K),IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,KPNIH12
GCF_000281355,5715795,137,158097,258,GD,1,0,rectal swab,rectal swab,stool,Homo sapiens,USA,2011,"aadA2,aph(3')-Ia,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxA,oqxB,blaSHV-11,blaTEM-1A,blaKPC-3,blaOXA-9,catA1","IncFIB(K),IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,KPNIH17
GCF_000281375,5724448,155,167325,258,GD,1,0,throat,throat,other,Homo sapiens,USA,2011,"aadA2,aph(3')-Ia,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,blaTEM-1A,blaOXA-9,blaKPC-3,blaSHV-11,catA1","IncFIB(K),IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,KPNIH20
GCF_000281395,5718058,173,120800,258,GD,1,0,peritoneal fluid,peritoneal fluid,other,Homo sapiens,USA,2011,"aadA2,aph(3')-Ia,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,oqxB,oqxA,aac(6')Ib-cr,blaSHV-11,blaKPC-3,blaTEM-1A,blaOXA-9,catA1","IncFIB(K),IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae KPNIH4,KPNIH4
GCF_000281415,5723848,160,158114,258,GD,1,0,ventilator,ventilator,environment,Homo sapiens,USA,2011,"aadA2,aph(3')-Ia,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxA,oqxB,blaKPC-3,blaTEM-1A,blaOXA-9,blaSHV-11,catA1","IncFIB(K),IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae KPNIH7,KPNIH7
GCF_000281435,5767822,4,5395263,258,GD,1,0,groin,groin,other,Homo sapiens,USA,2011,"aadA2,aac(6')-Ib,aadA2,aph(3')-Ia,fosA,mph(A),sul1,sul1,dfrA12,aac(6')Ib-cr,oqxA,oqxB,blaKPC-3,blaSHV-11,blaOXA-9,blaTEM-1A,catA1","IncFIB(pQil),IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,KPNIH10
GCF_000281455,5723355,165,147593,258,GD,1,0,rectal swab,rectal swab,stool,Homo sapiens,USA,2011,"aadA2,aph(3')-Ia,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,oqxB,oqxA,aac(6')Ib-cr,blaTEM-1A,blaOXA-9,blaSHV-11,blaKPC-3,catA1","IncFIB(K),IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,KPNIH14
GCF_000281475,5769474,167,153222,258,GD,1,0,rectal swab,rectal swab,stool,Homo sapiens,USA,2011,"aadA2,aph(3')-Ia,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,dfrA12,oqxA,oqxB,aac(6')Ib-cr,blaTEM-1A,blaOXA-9,blaSHV-11,blaKPC-3,catA1","IncFIB(K),Col(pWES),IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,KPNIH18
GCF_000281495,5757750,178,117020,258,GD,1,0,rectal swab,rectal swab,stool,Homo sapiens,USA,2011,"aadA2,aph(3')-Ia,aac(6')-Ib,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxB,oqxA,blaTEM-1A,blaOXA-9,blaSHV-11,blaKPC-3,catA1","IncFIB(pQil),IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,KPNIH21
GCF_000281515,5749696,165,131068,258,GD,1,0,rectal swab,rectal swab,stool,Homo sapiens,USA,2011,"aac(6')-Ib,aadA2,aph(3')-Ia,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxB,oqxA,blaOXA-9,blaTEM-1A,blaSHV-11,blaKPC-3,catA1","IncFIB(pQil),IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,KPNIH22
GCF_000281535,5766615,4,5394056,258,GD,1,0,groin,groin,other,Homo sapiens,USA,2011,"aadA2,aac(6')-Ib,aadA2,aph(3')-Ia,fosA,mph(A),sul1,sul1,dfrA12,aac(6')Ib-cr,oqxA,oqxB,blaKPC-3,blaSHV-11,blaOXA-9,blaTEM-1A,catA1","IncFIB(pQil),IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae KPNIH1,KPNIH1
GCF_000281555,5714705,182,158021,258,GD,1,0,rectal swab,rectal swab,stool,Homo sapiens,USA,2011,"aadA2,aph(3')-Ia,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,blaTEM-1A,blaOXA-9,blaSHV-11,blaKPC-3,catA1","IncFIB(K),IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae KPNIH8,KPNIH8
GCF_000281575,5714016,185,150495,258,GD,1,0,rectal swab,rectal swab,stool,Homo sapiens,USA,2011,"aadA2,aph(3')-Ia,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,oqxB,oqxA,aac(6')Ib-cr,blaTEM-1A,blaOXA-9,blaSHV-11,blaKPC-3,catA1","IncFIB(pQil),IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,KPNIH11
GCF_000281595,5715478,178,158009,258,GD,1,0,throat,throat,other,Homo sapiens,USA,2011,"aadA2,aac(6')-Ib,aph(3')-Ia,fosA,mph(A),sul1,dfrA12,oqxB,oqxA,aac(6')Ib-cr,blaSHV-11,blaKPC-3,blaTEM-1A,blaOXA-9,catA1","IncFIB(pQil),IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,KPNIH16
GCF_000281615,5715894,201,98646,258,GD,1,0,rectal swab,rectal swab,stool,Homo sapiens,USA,2011,"aadA2,aac(6')-Ib,aph(3')-Ia,fosA,mph(A),sul1,dfrA12,oqxB,oqxA,aac(6')Ib-cr,blaTEM-1A,blaKPC-3,blaOXA-9,blaSHV-11,catA1","IncFIB(pQil),IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,KPNIH19
GCF_000281635,5740386,338,47638,258,GD,1,0,rectal swab,rectal swab,stool,Homo sapiens,USA,2011,"aadA2,aac(6')-Ib,aph(3')-Ia,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxB,oqxA,blaTEM-1A,blaSHV-11,blaOXA-9,blaKPC-3,catA1","IncFIB(K),IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,KPNIH23
GCF_000281755,5512347,27,459638,3,,1,0,blood,blood,blood,Homo sapiens,,,"fosA,oqxA,oqxB,blaSHV-1","IncFIA(HI1),IncFIB(K),pSM22,IncFII(pCoo),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae DSM,DSM 30104
GCF_000283455,5707592,569,59798,258,GD,1,0,urine of male patient,urine,urine,Homo sapiens,Israel,2006,"aph(3')-Ia,aac(6')-Ib,aadA2,fosA,mph(A),sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,blaKPC-3,blaOXA-9,blaTEM-1A,blaSHV-11,catA1","IncFIB(pQil),IncX3,IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,ST258-490
GCF_000294365,5386705,1,5386705,23,,1,1,,,,,,,"fosA,oqxB,oqxA,blaSHV-36",,Klebsiella pneumoniae subsp. pneumoniae 1084,1084
GCF_000300655,5548332,5,5173091,48,,1,0,biological product [ENVO:02000043],,,Homo sapiens,,,"fosA,oqxB,oqxA,blaSHV-11","IncFII(pCRY),IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae WGLW1,WGLW1
GCF_000300675,5745996,3,5220966,14,,1,1,biological product [ENVO:02000043],,,Homo sapiens,,,"fosA,oqxA,oqxB,blaSHV-28","IncFIB(K),IncFIB(Mar)",Klebsiella pneumoniae subsp. pneumoniae WGLW2,WGLW2
GCF_000300835,5466672,18,5293845,37,,1,1,blood culture,blood,blood,Homo sapiens,Spain,2008,"ARR-3,aac(6')Ib-cr,aph(4)-Ia,aac(3)-IVa,aph(3')-Ia,aadA2,strA,strB,fosA,mph(A),sul1,sul1,sul2,dfrA12,oqxB,oqxA,QnrB4,aac(6')Ib-cr,tet(A),blaSHV-11,blaDHA-1,blaOXA-1,catB3,floR,catA1","Col(MGD2),IncR,IncFIB(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae KpQ3,KpQ3
GCF_000300935,5548082,6,5320445,48,,1,0,biological product [ENVO:02000043],,,Homo sapiens,,,"fosA,oqxB,oqxA,blaSHV-11","IncFII(pCRY),IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae WGLW3,WGLW3
GCF_000300955,5821816,10,3325226,134,,1,1,biological product [ENVO:02000043],,,Homo sapiens,,,"aadA2,aph(3')-Ia,fosA,mph(A),sul1,sul1,dfrA21,dfrA12,oqxA,oqxB,blaSHV-60","IncL/M(pMU407),IncHI1B,IncFIB(K),ColRNAI,IncFIB(Mar)",Klebsiella pneumoniae subsp. pneumoniae WGLW5,WGLW5
GCF_000309505,5392844,289,40450,512,GD,1,0,,,,,,,"aadA2,aac(6')-Ib,fosA,mph(A),sul1,oqxA,oqxB,aac(6')Ib-cr,blaSHV-11,blaKPC-3,catA1","IncX3,IncFIB(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,ST512-K30BO
GCF_000313365,5663706,168,69464,258,,1,0,,,,,,,"aac(6')-Ib,fosA,mph(A),sul1,dfrA12,oqxA,aac(6')Ib-cr,oqxB,blaKPC-3,blaSHV-11,blaTEM-1A,blaOXA-9,catA1","IncFIB(K),IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,ST258-K28BO
GCF_000313465,5526679,193,65094,258,,1,0,,,,,,,"aadA2,aac(6')-Ib,fosA,mph(A),sul1,sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,blaSHV-11,blaTEM-1A,blaOXA-9,blaKPC-3,catA1","IncFIB(K),IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,ST258-K26BO
GCF_000315385,5530861,2,5324709,375,,1,1,,,,,,,"fosA,oqxA,oqxB,blaSHV-99","IncFIB(K),IncHI1B",Klebsiella pneumoniae subsp. pneumoniae Ecl8,Ecl8
GCF_000316245,5578970,210,142055,258,GD,1,0,,,,Homo sapiens,USA,2007,"aac(6')-Ib,aadA2,fosA,mph(A),sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,blaOXA-9,blaSHV-12,blaTEM-1A,blaKPC-2,catA1","IncR,IncFIB(pQil),IncFII(K),IncX3,ColRNAI",Klebsiella pneumoniae VA360,VA360
GCF_000316265,6015282,227,129981,14,,1,1,cerebrospinal fluid from infant,cerebrospinal fluid,other,Homo sapiens,Argentina,,"aac(3)-IIa,strB,aph(3')-Ic,aadA1,aac(6')-Ib,strA,fosA,sul1,dfrA8,oqxA,oqxB,aac(6')Ib-cr,tet(B),blaOXA-9,blaTEM-1A,blaSHV-28,blaSCO-1,catA1","IncFII(K),IncFIB(Mar),ColRNAI,IncFII,IncFIB(pQil),IncHI1B,IncFIB(K)",Klebsiella pneumoniae JHCK1,JHCK1
GCF_000338255,5368567,272,43309,86,,1,1,hospitalized patient,,,Homo sapiens,USA,,"aph(3')-Ia,fosA,oqxB,oqxA,blaSHV-1","IncFIB(K),IncHI1B",Klebsiella pneumoniae hvKP1,hvKP1
GCF_000349245,5461663,103,226688,489,,1,1,,,,Homo sapiens,,,"aadB,fosA,sul1,oqxB,oqxA,blaSHV-18,blaOKP-B-7,blaOXA-2","IncL/M(pMU407),IncFIB(K),IncFII(K)",Klebsiella pneumoniae 700603,700603
GCF_000349265,5657550,168,203714,258,,1,1,,,,Homo sapiens,,,"aph(3')-Ia,aadA2,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxA,oqxB,blaKPC-2,blaTEM-1A,blaOXA-9,blaSHV-11,catA1","IncFIB(K),IncX3,IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae ATCC BAA-1705,ATCC BAA-1705
GCF_000349285,5674981,108,270044,11,,1,0,urine sample,urine,urine,Homo sapiens,USA,2010,"strA,strB,aac(3)-IIa,aadA2,rmtC,aacA4,fosA,mph(A),sul2,sul1,dfrA14,aac(6')Ib-cr,QnrB58,oqxA,oqxB,tet(A),blaCMY-6,blaTEM-1B,blaLEN12,blaOXA-1,blaCTX-M-15,blaNDM-1,catB3","IncR,IncFII(K),FIA(pBK30683),ColRNAI,IncA/C2,IncFIB(K)",Klebsiella pneumoniae ATCC BAA-2146,ATCC BAA-2146
GCF_000364385,5781501,5,5435746,11,,1,0,,,,,,,"aacA4,rmtC,aadA2,aac(6')Ib-cr,aac(3)-IIa,strB,strA,aac(6')-Ib,fosA,mph(A),sul1,sul1,sul2,dfrA14,aac(6')Ib-cr,QnrB58,aac(6')Ib-cr,oqxA,oqxB,aac(6')Ib-cr,tet(A),blaNDM-1,blaSHV-11,blaSHV-11,blaOXA-1,blaCTX-M-15,blaTEM-1B,blaCTX-M-15,blaCMY-6,catB3","IncR,IncFII(K),ColRNAI,FIA(pBK30683),IncA/C2,IncFIB(K)",Klebsiella pneumoniae,ATCC BAA-2146
GCF_000367165,5742061,183,136195,421,,1,1,blood,blood,blood,Homo sapiens,China,2012,"ARR-3,aadA17,aadA5,strB,aph(3')-Ia,armA,strA,fosA,mph(E),msr(E),sul1,sul2,dfrA1,QnrS1,oqxB,oqxA,QnrB4,tet(D),blaDHA-1,blaTEM-1B,blaCTX-M-15,blaSIM-1,blaOKP-B-8,blaCTX-M-14,catA2,catB3","IncFIA(HI1),IncFII,IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,611751
GCF_000372625,5280004,297,42754,1402,,1,0,blood sample from patient with,blood,blood,Homo sapiens,Malaysia,2009,"strA,strB,fosA,sul2,dfrA14,oqxB,QnrS1,oqxA,tet(D),blaSHV-36,blaTEM-1B,catA2","IncR,FIA(pBK30683),ColRNAI",Klebsiella pneumoniae PR04,PR04
GCF_000401195,5503448,195,96146,258,GD,1,0,,,,Homo sapiens,USA,,"aadA2,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxB,oqxA,blaOXA-9,blaSHV-12,blaKPC-2,catA1","IncR,IncFIB(pQil),IncFII(K),IncX3,ColRNAI",Klebsiella pneumoniae UHKPC23,UHKPC23
GCF_000406385,5672685,321,70423,1272,,1,1,,,,Homo sapiens,USA,,"aadA5,aadB,fosA,sul1,oqxA,oqxB,blaSHV-11,blaOXA-2,blaKPC-3,blaTEM-1B","IncL/M(pMU407),IncFII(SARC14),IncFIB(K),ColRNAI",Klebsiella pneumoniae KP-7,KP-7
GCF_000406405,5490156,155,95435,258,,0,0,,,,Homo sapiens,USA,,"aph(4)-Ia,fosA,sul3,oqxA,oqxB,blaSHV-12,blaOXA-9,blaKPC-3,cmlA1","IncI2,IncR,ColRNAI,IncFII(Y)",Klebsiella pneumoniae UHKPC40,UHKPC40
GCF_000406425,5501391,205,89783,258,GD,1,0,,,,Homo sapiens,USA,,"aac(6')-Ib,aadA2,fosA,mph(A),sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,blaSHV-12,blaKPC-2,blaOXA-9,catA1","IncFII(K),IncR,IncFIB(pQil),IncX3,ColRNAI",Klebsiella pneumoniae UHKPC09,UHKPC09
GCF_000406445,5575547,223,96149,258,GD,1,0,,,,Homo sapiens,USA,,"aph(4)-Ia,aadA2,aac(6')-Ib,fosA,mph(A),sul3,sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,blaSHV-12,blaKPC-2,blaOXA-9,cmlA1","IncI2,IncR,IncFII(K),ColRNAI,IncX3,IncFIB(pQil),IncFIB(K)",Klebsiella pneumoniae UHKPC01,UHKPC01
GCF_000406465,5571683,220,89639,258,GD,1,0,,,,Homo sapiens,USA,,"aph(4)-Ia,aadA2,aac(6')-Ib,fosA,mph(A),sul3,sul1,dfrA12,oqxB,oqxA,aac(6')Ib-cr,blaSHV-12,blaKPC-2,blaOXA-9,cmlA1","IncR,IncFII(K),ColRNAI,IncX3,IncFIB(pQil),IncFIB(K)",Klebsiella pneumoniae UHKPC27,UHKPC27
GCF_000406485,5389421,148,85283,258,,1,0,,,,Homo sapiens,USA,,"aac(6')-Ib,fosA,aac(6')Ib-cr,oqxA,oqxB,blaOXA-9,blaSHV-12,blaKPC-2","IncX3,IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae 361_1301,361_1301
GCF_000406505,5718845,301,62507,1272,,1,1,,,,Homo sapiens,USA,,"fosA,oqxB,oqxA,blaSHV-11,blaKPC-3","IncFII(SARC14),IncFII(K),IncFII(Y),IncFIA(HI1),IncFII(29),IncFIB(K)",Klebsiella pneumoniae KP-11,KP-11
GCF_000406525,5532328,231,70624,234,,1,1,,,,Homo sapiens,USA,,"aacA4,aadB,fosA,sul1,dfrA18,oqxA,oqxB,aac(6')Ib-cr,blaOXA-9,blaTEM-1A,blaSHV-11,blaKPC-2,catB3","IncFIA(HI1),IncFII(K),ColRNAI,IncX1,IncFIB(pQil),IncFIB(K)",Klebsiella pneumoniae UHKPC81,UHKPC81
GCF_000406545,5624526,216,85432,258,,1,0,,,,Homo sapiens,USA,,"aadA1,aph(4)-Ia,aadA2,fosA,mph(A),sul3,sul1,dfrA12,oqxA,oqxB,blaOXA-9,blaKPC-3,blaSHV-11,cmlA1","IncI2,IncR,IncFII(K),ColRNAI,IncFII(Y),IncX3,IncFIB(K)",Klebsiella pneumoniae VAKPC297,VAKPC297
GCF_000406565,5366546,164,90580,258,GD,1,0,,,,Homo sapiens,USA,,"aac(6')-Ib,aadA2,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxA,oqxB,blaSHV-12,blaKPC-2","IncX3,IncR,IncFII(K),ColRNAI",Klebsiella pneumoniae VAKPC280,VAKPC280
GCF_000406585,5472934,200,99231,258,GD,1,0,,,,Homo sapiens,USA,,"strB,aph(3')-Ic,aac(6')-Ib,aadA2,fosA,mph(A),sul1,dfrA12,oqxB,oqxA,aac(6')Ib-cr,blaKPC-2,blaSHV-12,blaOXA-9,catA1","IncR,IncFII(K),ColRNAI,IncX3,IncFIB(pQil),IncX8",Klebsiella pneumoniae VAKPC270,VAKPC270
GCF_000406605,5396453,129,105332,258,GD,1,0,,,,Homo sapiens,USA,,"aac(6')-Ib,fosA,aac(6')Ib-cr,oqxA,oqxB,blaOXA-9,blaSHV-12,blaKPC-2","IncX3,IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae UHKPC24,UHKPC24
GCF_000406625,5468994,205,97690,258,GD,1,0,,,,Homo sapiens,USA,,"strB,aph(3')-Ic,aac(6')-Ib,aadA2,fosA,mph(A),sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,blaKPC-2,blaSHV-12,blaOXA-9,catA1","IncR,IncFII(K),ColRNAI,IncX3,IncFIB(pQil),IncX8",Klebsiella pneumoniae VAKPC276,VAKPC276
GCF_000406645,5473881,217,82613,258,GD,1,0,,,,Homo sapiens,USA,,"aac(6')-Ib,strB,aadA2,aph(3')-Ic,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxA,oqxB,blaSHV-12,blaKPC-2,blaOXA-9","IncR,IncFII(K),ColRNAI,IncX3,IncFIB(pQil),IncX8",Klebsiella pneumoniae VAKPC309,VAKPC309
GCF_000406665,5502788,202,86762,258,GD,1,0,,,,Homo sapiens,USA,,"aadA2,aac(6')-Ib,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxA,oqxB,blaSHV-12,blaKPC-2,blaOXA-9","IncFII(K),IncX3,IncFIB(pQil),IncR,ColRNAI",Klebsiella pneumoniae UHKPC26,UHKPC26
GCF_000406685,5603708,200,85436,258,,1,0,,,,Homo sapiens,USA,,"aadA1,aph(4)-Ia,aadA2,fosA,mph(A),sul3,sul1,dfrA12,oqxA,oqxB,blaSHV-12,blaOXA-9,blaKPC-7,cmlA1","IncI2,IncR,IncFIB(K),IncFII(K),IncFII(Y)",Klebsiella pneumoniae UHKPC22,UHKPC22
GCF_000406705,5550266,232,85429,258,GD,1,0,,,,Homo sapiens,USA,,"aph(4)-Ia,aacA4,aadA2,fosA,mph(A),sul3,sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,blaOXA-9,blaKPC-2,blaTEM-79,blaSHV-12,catA1","IncX3,IncR,IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae UHKPC04,UHKPC04
GCF_000406725,5476814,175,80360,258,,1,0,,,,Homo sapiens,USA,,"aadA2,aph(4)-Ia,fosA,sul3,oqxA,oqxB,blaKPC-3,blaSHV-12,cmlA1","IncI2,IncR,IncFII(Y)",Klebsiella pneumoniae VAKPC252,VAKPC252
GCF_000406745,5488293,213,89550,258,,1,0,,,,Homo sapiens,USA,,"aacA4,aadA2,fosA,mph(A),sul1,dfrA12,oqxA,oqxB,aac(6')Ib-cr,blaKPC-2,blaOXA-9,blaTEM-79,blaSHV-12,catA1","IncR,IncFIB(pQil),IncFII(K),IncX3,ColRNAI",Klebsiella pneumoniae 440_1540,440_1540
